id,ts,strategy,broker,symbol,action,order_type,qty,price,value_usd,fee_usd,pnl_usd,pnl_pct,paper,order_id,notes,lane,won,source,contract_side,forecast_yes_prob,model_prob_gfs,model_prob_ecmwf,weather_mode,forecast_hours_to_resolution
774,2026-06-10T19:59:25.502788-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,BUY,Limit,6.0,0.16,0.96,0.0565,0.0,0.0,0,983c5c21-1067-45c1-a7b8-22e84722e134,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
773,2026-06-10T19:59:32.872551-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,SELL,Limit,6.0,0.87,5.22,0.0476,0.0,0.0,0,b8548064-0f92-4596-8041-27ee6e138411,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
772,2026-06-10T20:11:42.909483-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,BUY,Limit,42.0,0.2,8.4,0.4705,0.0,0.0,0,56ba4728-b531-4636-8833-6224812717f3,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
771,2026-06-10T20:11:48.533261-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,SELL,Limit,42.0,0.81,34.02,0.4525,0.0,0.0,0,18229568-501e-4409-a437-423e49dac1e4,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
770,2026-06-10T20:23:55.607775-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,BUY,Limit,32.0,0.21,6.72,0.3717,0.0,0.0,0,6db0862b-fc03-451b-9ba4-ff51650555a5,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
769,2026-06-10T20:24:01.374439-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,SELL,Limit,7.0,0.84,5.88,0.066,0.0,0.0,0,cf461627-ae22-4bb2-b0fa-63c74f2b590d,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
768,2026-06-10T20:30:13.555208-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,SELL,Limit,17.0,0.84,14.28,0.16,0.0,0.0,0,0cd543d0-7233-4c99-ad24-822b1e87f285,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
767,2026-06-10T20:36:16.435071-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,SELL,Limit,6.0,0.85,5.1,0.0536,0.0,0.0,0,5c0fabaf-52bd-4f88-8c0a-ecba7994d748,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
766,2026-06-10T20:42:22.808821-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,SELL,Limit,2.0,0.88,1.76,0.0148,0.0,0.0,0,96dd04d6-65aa-4b8b-bc6c-55f86392756d,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
765,2026-06-10T21:19:12.925912-04:00,reconstructed_kalshi,kalshi,KXLOWTBOS-26JUN11-T66,BUY,Limit,6.0,0.17,1.02,0.0593,0.0,0.0,0,260181e2-2b49-4a8e-8e20-5030af9af00f,reconstructed_from_kalshi_api,lane2,,live_v10,NO,,,,,
